nr_sesji,nazwa_sesji,data_sesji,czas_sesji,godzina_rozpoczecia,miejsce_w_rankingu,tier,czy_byla_przesuwana,czas_od_poprzedniejsesji_w_dniach,czy_wszyscy_dostalismy_wpiedrol,Stracone_punkty_przeznaczenia;
0,"tworzenie postaci",25.06.2024,4,19:00,,A,nie,20,tak,0;
1,"Kto wygra statek czy retardes",05.07.2024,4,18:00,,B,nie,10,nie,0;
2,"Samospalenie i wpierdol przy zajebistej muzyczce",04.08.2024,4,19:15,,A/S,nie,30,tak,1;
3,"Biblioteka v2 nic się nie dzieje",11.08.2024,2.5,18:50,,F,prawie,7,nie,0;
4,"Poker, Dziuecko Mabaka i Artura.",23.08.2024,1.25,19:45,,S,tak,12,nie,0;
5,"Pojedynek",1.09.2024,3.5,18:00,,A,nie,9,nie,0;
6,"Rzuć na sruvival",6.09.2024,3.5,18:00,,B+,nie,5,nie,0;
7,"brat mabak gada i płonie",20.09.2024,4.5,18:20,,B-,tak,14,nie,0;
8,"Skryty space marine bada kryształy",02.10.2024,4.6,18:23,,A,tak,12,nie,1;
9,"dywanik",01.11.2024,0.95,23:03,,A,tak,30,nie,0;
10,"dyplomacja",06.11.2024,4,18:00,,A,nie,5,nie,0;
11,"zepsuta świątynia",19.12.2024,1.75,18:16,,A-,nie,43,nie,0;
