nr_spotkania,ranking,patronat,procent_sukcesu,data,godzina_rozpoczecia
1,2,Warola Kojtyły,60,27.08.2024,21:37
2,7,Jakuba Różalski,100,30.08.2024,21:37
3,8,Josipa Tito,100,03.09.2024,21:37
4,4,Brak/Karoliny Marcisz,100,13.09.2024,21:00
5,9, Początku Końca,85,17.09.2024,20:20
6,5, Elyas,66,20.09.2024,17:34
7,3, Brak,100,24.09.2024,21:00
8,1,początku końca,100,30.09.2024,3:21
8,6,Brak,100,01.10.2024,21:37
8,6,broodlorda ,100,02.10.2024,21:37
8,6,nowego rządu,100,03.10.2024,21:37
8,6,Raportu,120,04.10.2024,21:37
9,,,,12.10.2024,21:37
